Time, GPU Index, Temp C, GPU %, Memory %
2016-11-21 19:02:04.666000,GPU0,34,4,6
2016-11-21 19:02:06.672000,GPU0,34,6,7
2016-11-21 19:02:08.676000,GPU0,34,9,8
2016-11-21 19:02:10.680000,GPU0,34,6,7
2016-11-21 19:02:12.685000,GPU0,34,16,14
2016-11-21 19:02:14.689000,GPU0,34,5,7
2016-11-21 19:02:16.694000,GPU0,34,4,7
2016-11-21 19:02:18.699000,GPU0,34,8,8
2016-11-21 19:02:20.704000,GPU0,34,7,7
2016-11-21 19:02:22.709000,GPU0,34,18,14
2016-11-21 19:02:24.714000,GPU0,34,7,7
2016-11-21 19:02:26.719000,GPU0,34,4,7
2016-11-21 19:02:28.722000,GPU0,34,9,8
2016-11-21 19:02:30.727000,GPU0,34,5,7
2016-11-21 19:02:32.733000,GPU0,34,17,14
2016-11-21 19:02:34.738000,GPU0,34,6,7
2016-11-21 19:02:36.743000,GPU0,34,7,7
2016-11-21 19:02:38.748000,GPU0,34,12,9
2016-11-21 19:02:40.754000,GPU0,34,5,7
2016-11-21 19:02:42.759000,GPU0,34,15,14
2016-11-21 19:02:44.764000,GPU0,34,4,7
2016-11-21 19:02:46.767000,GPU0,34,4,7
2016-11-21 19:02:48.773000,GPU0,34,11,9
2016-11-21 19:02:50.778000,GPU0,34,8,8
2016-11-21 19:02:52.784000,GPU0,34,20,15
2016-11-21 19:02:54.788000,GPU0,34,5,7
2016-11-21 19:02:56.792000,GPU0,34,4,7
2016-11-21 19:02:58.795000,GPU0,34,9,8
2016-11-21 19:03:00.799000,GPU0,34,5,7
2016-11-21 19:03:02.802000,GPU0,34,19,15
2016-11-21 19:03:04.807000,GPU0,34,7,7
2016-11-21 19:03:06.811000,GPU0,34,7,7
2016-11-21 19:03:08.816000,GPU0,34,10,8
2016-11-21 19:03:10.821000,GPU0,34,5,7
2016-11-21 19:03:12.825000,GPU0,34,16,14
2016-11-21 19:03:14.829000,GPU0,34,5,7
2016-11-21 19:03:16.839000,GPU0,34,7,8
2016-11-21 19:03:18.843000,GPU0,34,12,9
2016-11-21 19:03:20.848000,GPU0,34,7,8
2016-11-21 19:03:22.854000,GPU0,34,16,14
2016-11-21 19:03:24.860000,GPU0,34,5,7
2016-11-21 19:03:26.863000,GPU0,34,5,7
2016-11-21 19:03:28.867000,GPU0,34,8,8
2016-11-21 19:03:30.872000,GPU0,34,7,7
2016-11-21 19:03:32.878000,GPU0,34,18,14
2016-11-21 19:03:34.882000,GPU0,34,6,7
2016-11-21 19:03:36.888000,GPU0,34,4,7
2016-11-21 19:03:38.893000,GPU0,34,7,7
2016-11-21 19:03:40.897000,GPU0,34,4,7
2016-11-21 19:03:42.903000,GPU0,34,15,13
2016-11-21 19:03:44.908000,GPU0,34,6,7
2016-11-21 19:03:46.912000,GPU0,34,6,7
2016-11-21 19:03:48.917000,GPU0,34,7,8
2016-11-21 19:03:50.922000,GPU0,34,4,7
2016-11-21 19:03:52.932000,GPU0,34,14,13
2016-11-21 19:03:54.937000,GPU0,34,3,6
2016-11-21 19:03:56.942000,GPU0,34,4,6
2016-11-21 19:03:58.947000,GPU0,34,8,8
2016-11-21 19:04:00.952000,GPU0,34,6,7
2016-11-21 19:04:02.957000,GPU0,34,15,14
2016-11-21 19:04:04.961000,GPU0,34,4,6
2016-11-21 19:04:06.966000,GPU0,34,3,6
2016-11-21 19:04:08.971000,GPU0,34,6,7
2016-11-21 19:04:10.977000,GPU0,34,3,6
2016-11-21 19:04:12.982000,GPU0,34,18,15
2016-11-21 19:04:14.988000,GPU0,34,6,7
2016-11-21 19:04:16.993000,GPU0,34,6,7
2016-11-21 19:04:18.999000,GPU0,34,5,7
2016-11-21 19:04:21.004000,GPU0,34,4,7
2016-11-21 19:04:23.007000,GPU0,34,8,9
2016-11-21 19:04:25.012000,GPU0,34,5,7
2016-11-21 19:04:27.018000,GPU0,34,6,7
2016-11-21 19:04:29.021000,GPU0,34,7,8
2016-11-21 19:04:31.025000,GPU0,34,8,8
2016-11-21 19:04:33.030000,GPU0,34,7,8
2016-11-21 19:04:35.034000,GPU0,34,4,7
2016-11-21 19:04:37.040000,GPU0,34,5,7
2016-11-21 19:04:39.045000,GPU0,34,5,7
2016-11-21 19:04:41.050000,GPU0,34,6,7
2016-11-21 19:04:43.053000,GPU0,34,7,8
2016-11-21 19:04:45.058000,GPU0,34,6,7
2016-11-21 19:04:47.061000,GPU0,34,4,6
2016-11-21 19:04:49.066000,GPU0,34,3,6
2016-11-21 19:04:51.069000,GPU0,34,3,6
2016-11-21 19:04:53.075000,GPU0,34,5,7
2016-11-21 19:04:55.080000,GPU0,34,5,7
2016-11-21 19:04:57.085000,GPU0,34,7,7
2016-11-21 19:04:59.090000,GPU0,34,7,7
2016-11-21 19:05:01.094000,GPU0,34,4,7
2016-11-21 19:05:03.126000,GPU0,34,5,7
2016-11-21 19:05:05.131000,GPU0,34,4,7
2016-11-21 19:05:07.136000,GPU0,34,6,7
2016-11-21 19:05:09.142000,GPU0,34,7,7
2016-11-21 19:05:11.146000,GPU0,34,7,7
2016-11-21 19:05:13.152000,GPU0,34,7,7
2016-11-21 19:05:15.158000,GPU0,33,4,7
2016-11-21 19:05:17.162000,GPU0,34,5,7
2016-11-21 19:05:19.167000,GPU0,34,5,7
2016-11-21 19:05:21.170000,GPU0,34,5,7
2016-11-21 19:05:23.176000,GPU0,34,7,7
2016-11-21 19:05:25.181000,GPU0,34,7,8
2016-11-21 19:05:27.184000,GPU0,34,7,7
2016-11-21 19:05:29.189000,GPU0,34,5,7
2016-11-21 19:05:31.192000,GPU0,34,5,7
2016-11-21 19:05:33.197000,GPU0,34,4,7
2016-11-21 19:05:35.201000,GPU0,33,6,8
2016-11-21 19:05:37.206000,GPU0,34,7,8
2016-11-21 19:05:39.212000,GPU0,33,7,8
2016-11-21 19:05:41.219000,GPU0,34,7,8
2016-11-21 19:05:43.223000,GPU0,34,4,7
2016-11-21 19:05:45.228000,GPU0,34,5,7
2016-11-21 19:05:47.232000,GPU0,33,5,7
